        Pcore(1)        Pcore(2)        Pcore(3)        Pcore(4)        Pcore(5)        Pcore(6)        Pcore(7)        Pcore(8)
     1.4942529     2.9885057     4.4827586     5.9770115     5.9770115     4.4827586     2.9885057     1.4942529
        Vcore(1)        Vcore(2)        Vcore(3)        Vcore(4)        Vcore(5)        Vcore(6)        Vcore(7)        Vcore(8)
             0             0             0             0             0             0             0             0
    0.11203658    0.17771957    0.24340255    0.30908554    0.30908554    0.24340255    0.17771957    0.11203658
    0.24227657    0.32383625    0.40539593    0.48695561    0.48695561    0.40539593    0.32383625    0.24227657
    0.35163301    0.42115366    0.49067431    0.56019497    0.56019497    0.49067431    0.42115366    0.35163301
    0.47598614    0.55463578    0.63328543    0.71193507    0.71193507    0.63328543    0.55463578    0.47598614
    0.58710714    0.65883443    0.73056171      0.802289      0.802289    0.73056171    0.65883443    0.58710714
     0.7072027     0.7841791    0.86115549    0.93813188    0.93813188    0.86115549     0.7841791     0.7072027
    0.81883572     0.8918318    0.96482789      1.037824      1.037824    0.96482789     0.8918318    0.81883572
    0.93570451     1.0117188     1.0877331     1.1637474     1.1637474     1.0877331     1.0117188    0.93570451
     1.0470731     1.1207988     1.1945244       1.26825       1.26825     1.1945244     1.1207988     1.0470731
     1.1613668     1.2368279      1.312289     1.3877501     1.3877501      1.312289     1.2368279     1.1613668
     1.2719951     1.3461402     1.4202853     1.4944305     1.4944305     1.4202853     1.3461402     1.2719951
     1.3841267     1.4592697     1.5344127     1.6095557     1.6095557     1.5344127     1.4592697     1.3841267
      1.493727     1.5681134     1.6424997      1.716886      1.716886     1.6424997     1.5681134      1.493727
     1.6039601     1.6789202     1.7538803     1.8288404     1.8288404     1.7538803     1.6789202     1.6039601
     1.7123625     1.7868875     1.8614125     1.9359375     1.9359375     1.8614125     1.7868875     1.7123625
     1.8208674     1.8957223     1.9705772     2.0454322     2.0454322     1.9705772     1.8957223     1.8208674
     1.9279746     2.0025794     2.0771841     2.1517889     2.1517889     2.0771841     2.0025794     1.9279746
     2.0348638     2.1096583     2.1844527     2.2592472     2.2592472     2.1844527     2.1096583     2.0348638
     2.1406238     2.2152744      2.289925     2.3645756     2.3645756      2.289925     2.2152744     2.1406238
     2.2459738     2.3207335     2.3954932     2.4702529     2.4702529     2.3954932     2.3207335     2.2459738
     2.3503622     2.4250392     2.4997162     2.5743931     2.5743931     2.4997162     2.4250392     2.3503622
