         VBase        Charge
             0             0
     0.3620523    0.82760354
     1.1731237     1.6881986
     1.9954348     2.5167442
     2.7740071     3.2765657
     3.5335016      4.046634
     4.2559551     4.7538591
     4.9571907     5.4685844
     5.6269297      6.128635
     6.2749626     6.7902553
     6.8955143      7.406153
     7.4947542     8.0180066
     8.0695614     8.5920022
      8.623923     9.1576649
     9.1562743     9.6917942
     9.6692781     10.214718
     10.162274     10.711003
     10.637114     11.194395
     11.093657     11.654891
     11.533249     12.101693
      11.95604     12.528478
     12.363057     12.941384
     12.754604     13.336528
     13.131502     13.718016
      13.49413      14.08355
      13.84317     14.435906
     14.179032     14.773798
       14.5023     15.099141
     14.813387     15.411284
     15.112805      15.71158
      15.40096     15.999776
     15.678307     16.276859
     15.945232     16.542813
     16.202149     16.798389
     16.449421     17.043711
     16.687424     17.279373
       16.9165     17.505575
     17.136993     17.722804
     17.349221     17.931302
     17.553501     18.131482
     17.750128       18.3236
     17.939393     18.508015
     18.121573     18.684988
     18.296935     18.854837
     18.465734     19.017815
     18.628219     19.174209
     18.784625     19.324262
     18.935183     19.468234
     19.080112     19.606355
     19.219623     19.738864
     19.353919     19.865977
     19.483197     19.987912
     19.607644     20.104872
     19.727442     20.217056
     19.842765     20.324654
     19.953781      20.42785
     20.060652      20.52682
     20.163532     20.621734
     20.262571     20.712755
     20.357914     20.800039
     20.449698     20.883737
     20.538056     20.963994
     20.623118      21.04095
     20.705005     21.114737
     20.783838     21.185484
      20.85973     21.253316
     20.932791      21.31835
     21.003127       21.3807
     21.070839     21.440476
     21.136027     21.497782
     21.198784     21.552721
     21.259202     21.605387
     21.317366     21.655875
     21.373363     21.704274
     21.427272     21.750669
     21.479172     21.795143
     21.529137     21.837774
      21.57724     21.878639
      21.62355     21.917809
     21.668135     21.955354
     21.711058     21.991343
     21.752382     22.025838
     21.792167     22.058901
     21.830469     22.090592
     21.867344     22.120966
     21.902845     22.150079
     21.937024     22.177983
      21.96993     22.204727
      22.00161     22.230359
     22.032109     22.254926
     22.061473     22.278472
     22.089744     22.301039
     22.116961     22.322667
     22.143165     22.343396
     22.168393     22.363262
     22.192681     22.382302
     22.216065     22.400549
     22.238579     22.418038
     22.260254     22.434798
     22.281122     22.450861
     22.301212     22.466256
     22.320555     22.481009
     22.339178     22.495149
     22.357107     22.508699
     22.374369     22.521686
     22.390988     22.534132
     22.406988      22.54606
     22.422393     22.557491
     22.437224     22.568446
     22.451504     22.578945
     22.465251     22.589007
     22.478487     22.598649
      22.49123     22.607891
     22.503499     22.616747
     22.515311     22.625235
     22.526683     22.633369
     22.537632     22.641164
     22.548174     22.648635
     22.558323     22.655795
     22.568094     22.662657
     22.577502     22.669233
     22.586559     22.675535
      22.59528     22.681575
     22.603676     22.687363
     22.611759      22.69291
     22.619542     22.698227
     22.627034     22.703322
     22.634248     22.708205
     22.641194     22.712885
     22.647881      22.71737
     22.654319     22.721668
     22.660517     22.725788
     22.666485     22.729736
     22.672231     22.733519
     22.677763     22.737146
     22.683089     22.740621
     22.688217     22.743952
     22.693154     22.747144
     22.697907     22.750204
     22.702483     22.753136
     22.706889     22.755946
     22.711131      22.75864
     22.715216     22.761221
     22.719148     22.763695
     22.722934     22.766067
     22.726579     22.768339
     22.730088     22.770518
     22.733467     22.772605
      22.73672     22.774606
     22.739852     22.776524
     22.742867     22.778362
      22.74577     22.780124
     22.748566     22.781812
     22.751257      22.78343
     22.753848     22.784982
     22.756342     22.786468
     22.758744     22.787893
     22.761057     22.789259
     22.763283     22.790568
     22.765426     22.791823
      22.76749     22.793026
     22.769477     22.794179
      22.77139     22.795283
     22.773232     22.796343
     22.775005     22.797358
     22.776713     22.798331
     22.778356     22.799263
     22.779939     22.800157
     22.781463     22.801014
      22.78293     22.801836
     22.784342     22.802623
     22.785702     22.803378
     22.787011     22.804101
     22.788272     22.804794
     22.789485     22.805459
     22.790654     22.806096
     22.791779     22.806707
     22.792862     22.807292
     22.793905     22.807854
     22.794909     22.808392
     22.795876     22.808907
     22.796806     22.809402
     22.797702     22.809875
     22.798565      22.81033
     22.799396     22.810765
     22.800195     22.811183
     22.800965     22.811583
     22.801707     22.811966
      22.80242     22.812334
     22.803108     22.812687
     22.803769     22.813024
     22.804406     22.813348
     22.805019     22.813659
      22.80561     22.813957
     22.806178     22.814242
     22.806726     22.814516
     22.807253     22.814778
      22.80776      22.81503
     22.808248     22.815271
     22.808719     22.815502
     22.809172     22.815724
     22.809608     22.815936
     22.810027      22.81614
     22.810431     22.816335
      22.81082     22.816522
     22.811195     22.816702
