        Vcore(1)        Vcore(2)
             0             0
     9.1901039     9.1901039
     12.498855     12.498855
     11.942417     11.942417
      13.88981      13.88981
     13.826318     13.826318
     15.259714     15.259714
     15.485198     15.485198
     16.593149     16.593149
     16.971348     16.971348
     17.866682     17.866682
     18.317897     18.317897
     19.069185     19.069185
     19.547292     19.547292
     20.196669     20.196669
     20.675425     20.675425
     21.249194     21.249194
     21.714097     21.714097
     22.229042     22.229042
     22.672499     22.672499
     23.139646     23.139646
     23.558104     23.558104
     23.984974     23.984974
     24.377213     24.377213
     24.769163     24.769163
     25.135291     25.135291
     25.496323     25.496323
     25.837176     25.837176
     26.170423     26.170423
     26.487213     26.487213
     26.795233     26.795233
     27.089346     27.089346
     27.374304     27.374304
      27.64718      27.64718
     27.910957     27.910957
     28.164021     28.164021
     28.408287     28.408287
     28.642915     28.642915
     28.869172     28.869172
     29.086671     29.086671
     29.296283     29.296283
     29.497884     29.497884
     29.692099     29.692099
     29.878953     29.878953
     30.058917     30.058917
     30.232098     30.232098
     30.398866     30.398866
     30.559371     30.559371
     30.713918     30.713918
     30.862675     30.862675
     31.005901     31.005901
      31.14377      31.14377
     31.276508     31.276508
     31.404286     31.404286
     31.527306     31.527306
     31.645734     31.645734
      31.75975      31.75975
     31.869512     31.869512
     31.975184     31.975184
     32.076915     32.076915
     32.174856     32.174856
     32.269145     32.269145
      32.35992      32.35992
     32.447312     32.447312
     32.531448     32.531448
     32.612448     32.612448
      32.69043      32.69043
     32.765506     32.765506
     32.837785     32.837785
     32.907371     32.907371
     32.974365     32.974365
     33.038864     33.038864
     33.100959     33.100959
     33.160742     33.160742
     33.218297     33.218297
     33.273709     33.273709
     33.327058     33.327058
     33.378419     33.378419
     33.427867     33.427867
     33.475474     33.475474
     33.521308     33.521308
     33.565435     33.565435
     33.607919     33.607919
     33.648821     33.648821
       33.6882       33.6882
     33.726113     33.726113
     33.762614     33.762614
     33.797756     33.797756
      33.83159      33.83159
     33.864164     33.864164
     33.895525     33.895525
     33.925719     33.925719
     33.954788     33.954788
     33.982776     33.982776
     34.009721     34.009721
     34.035664     34.035664
      34.06064      34.06064
     34.084687     34.084687
     34.107839     34.107839
     34.130129     34.130129
     34.151589     34.151589
     34.172251     34.172251
     34.192143     34.192143
     34.211295     34.211295
     34.229734     34.229734
     34.247487     34.247487
     34.264579     34.264579
     34.281035     34.281035
     34.296878     34.296878
     34.312132     34.312132
     34.326818     34.326818
     34.340957     34.340957
      34.35457      34.35457
     34.367677     34.367677
     34.380295     34.380295
     34.392444     34.392444
     34.404141     34.404141
     34.415403     34.415403
     34.426245     34.426245
     34.436684     34.436684
     34.446734     34.446734
     34.456411     34.456411
     34.465727     34.465727
     34.474697     34.474697
     34.483333     34.483333
     34.491647     34.491647
     34.499652     34.499652
     34.507359     34.507359
     34.514779     34.514779
     34.521923     34.521923
     34.528802     34.528802
     34.535424     34.535424
       34.5418       34.5418
     34.547938     34.547938
     34.553849     34.553849
     34.559539     34.559539
     34.565017     34.565017
     34.570292     34.570292
      34.57537      34.57537
      34.58026      34.58026
     34.584967     34.584967
     34.589499     34.589499
     34.593863     34.593863
     34.598064     34.598064
     34.602109     34.602109
     34.606003     34.606003
     34.609753     34.609753
     34.613363     34.613363
     34.616838     34.616838
     34.620185     34.620185
     34.623406     34.623406
     34.626508     34.626508
     34.629495     34.629495
      34.63237      34.63237
     34.635138     34.635138
     34.637804     34.637804
      34.64037      34.64037
      34.64284      34.64284
     34.645219     34.645219
     34.647509     34.647509
     34.649714     34.649714
     34.651837     34.651837
     34.653881     34.653881
     34.655849     34.655849
     34.657744     34.657744
     34.659568     34.659568
     34.661324     34.661324
     34.663015     34.663015
     34.664643     34.664643
      34.66621      34.66621
     34.667719     34.667719
     34.669172     34.669172
     34.670571     34.670571
     34.671918     34.671918
     34.673215     34.673215
     34.674463     34.674463
     34.675665     34.675665
     34.676823     34.676823
     34.677937     34.677937
     34.679009     34.679009
     34.680042     34.680042
     34.681037     34.681037
     34.681994     34.681994
     34.682916     34.682916
     34.683803     34.683803
     34.684658     34.684658
     34.685481     34.685481
     34.686273     34.686273
     34.687035     34.687035
     34.687769     34.687769
     34.688476     34.688476
     34.689157     34.689157
     34.689812     34.689812
     34.690443     34.690443
      34.69105      34.69105
     34.691635     34.691635
     34.692198     34.692198
      34.69274      34.69274
     34.693262     34.693262
     34.693765     34.693765
     34.694249     34.694249
     34.694714     34.694714
     34.695163     34.695163
     34.695595     34.695595
      34.69601      34.69601
     34.696411     34.696411
     34.696796     34.696796
     34.697167     34.697167
     34.697524     34.697524
     34.697868     34.697868
     34.698199     34.698199
     34.698518     34.698518
     34.698825     34.698825
      34.69912      34.69912
     34.699405     34.699405
     34.699679     34.699679
     34.699943     34.699943
     34.700197     34.700197
     34.700441     34.700441
     34.700676     34.700676
     34.700903     34.700903
     34.701121     34.701121
     34.701331     34.701331
     34.701534     34.701534
     34.701728     34.701728
     34.701916     34.701916
     34.702096     34.702096
      34.70227      34.70227
     34.702437     34.702437
     34.702599     34.702599
     34.702754     34.702754
     34.702903     34.702903
     34.703047     34.703047
     34.703185     34.703185
     34.703319     34.703319
     34.703447     34.703447
      34.70357      34.70357
     34.703689     34.703689
     34.703804     34.703804
     34.703914     34.703914
      34.70402      34.70402
     34.704122     34.704122
     34.704221     34.704221
     34.704316     34.704316
     34.704407     34.704407
     34.704495     34.704495
     34.704579     34.704579
     34.704661     34.704661
     34.704739     34.704739
     34.704814     34.704814
     34.704887     34.704887
     34.704957     34.704957
     34.705024     34.705024
     34.705089     34.705089
     34.705152     34.705152
     34.705212     34.705212
      34.70527      34.70527
     34.705325     34.705325
     34.705379     34.705379
     34.705431     34.705431
      34.70548      34.70548
     34.705528     34.705528
     34.705574     34.705574
     34.705619     34.705619
     34.705661     34.705661
     34.705703     34.705703
     34.705742     34.705742
      34.70578      34.70578
     34.705817     34.705817
     34.705852     34.705852
     34.705886     34.705886
     34.705919     34.705919
     34.705951     34.705951
     34.705981     34.705981
      34.70601      34.70601
     34.706039     34.706039
     34.706066     34.706066
     34.706092     34.706092
     34.706117     34.706117
     34.706141     34.706141
     34.706164     34.706164
     34.706187     34.706187
     34.706208     34.706208
     34.706229     34.706229
     34.706249     34.706249
     34.706268     34.706268
     34.706287     34.706287
     34.706305     34.706305
     34.706322     34.706322
     34.706339     34.706339
     34.706355     34.706355
      34.70637      34.70637
     34.706385     34.706385
     34.706399     34.706399
     34.706413     34.706413
     34.706426     34.706426
     34.706439     34.706439
