        Pcore(1)        Pcore(2)
           108            12
     151.15129     55.151294
     151.23561     55.184055
      151.3994     55.251354
     151.55344      55.32171
      151.6987     55.394338
     151.83598     55.468556
     151.96599     55.543789
     152.08935     55.619552
     152.20663     55.695435
      152.3183     55.771094
     152.42481     55.846244
     152.52655     55.920645
     152.62385     55.994102
     152.71703     56.066452
     152.80636     56.137565
     152.89207     56.207337
     152.97441     56.275686
     153.05356     56.342548
      153.1297     56.407878
     153.20299     56.471641
     153.27359     56.533819
     153.34163     56.594398
     153.40722     56.653378
      153.4705     56.710761
     153.53155     56.766559
     153.59048     56.820788
     153.64738     56.873466
     153.70234     56.924617
     153.75542     56.974266
      153.8067      57.02244
     153.85626     57.069171
     153.90416     57.114488
     153.95045     57.158423
     153.99521     57.201009
     154.03847     57.242278
      154.0803     57.282266
     154.12075     57.321003
     154.15987     57.358525
     154.19769     57.394864
     154.23427     57.430053
     154.26964     57.464125
     154.30385      57.49711
     154.33693     57.529042
     154.36893     57.559951
     154.39988     57.589867
     154.42981     57.618819
     154.45876     57.646838
     154.48675      57.67395
     154.51383     57.700185
     154.54002     57.725569
     154.56535     57.750128
     154.58984     57.773888
     154.61353     57.796874
     154.63644      57.81911
      154.6586      57.84062
     154.68003     57.861426
     154.70075     57.881552
     154.72079     57.901018
     154.74017     57.919847
     154.75892     57.938057
     154.77704     57.955669
     154.79457     57.972702
     154.81152     57.989175
      154.8279     58.005105
     154.84375     58.020511
     154.85908     58.035409
      154.8739     58.049816
     154.88822     58.063747
     154.90208     58.077219
     154.91548     58.090245
     154.92843     58.102841
     154.94095     58.115021
     154.95306     58.126797
     154.96477     58.138184
     154.97609     58.149194
     154.98704     58.159839
     154.99762     58.170132
     155.00785     58.180083
     155.01775     58.189705
     155.02731     58.199007
     155.03656     58.208001
      155.0455     58.216696
     155.05414     58.225103
     155.06249      58.23323
     155.07057     58.241088
     155.07838     58.248684
     155.08593     58.256028
     155.09323     58.263128
     155.10029     58.269992
     155.10711     58.276627
      155.1137     58.283042
     155.12008     58.289244
     155.12624     58.295239
      155.1322     58.301034
     155.13796     58.306637
     155.14352     58.312053
     155.14891     58.317288
     155.15411      58.32235
     155.15914     58.327242
       155.164     58.331972
      155.1687     58.336544
     155.17324     58.340964
     155.17763     58.345236
     155.18188     58.349366
     155.18598     58.353358
     155.18995     58.357217
     155.19378     58.360947
     155.19749     58.364553
     155.20107     58.368039
     155.20454     58.371408
     155.20789     58.374665
     155.21112     58.377814
     155.21425     58.380857
     155.21727     58.383798
      155.2202     58.386642
     155.22302      58.38939
     155.22575     58.392047
     155.22839     58.394615
     155.23094     58.397098
     155.23341     58.399497
     155.23579     58.401816
      155.2381     58.404058
     155.24033     58.406225
     155.24248      58.40832
     155.24456     58.410344
     155.24657     58.412301
     155.24852     58.414193
      155.2504     58.416021
     155.25221     58.417789
     155.25397     58.419497
     155.25567     58.421148
     155.25731     58.422744
     155.25889     58.424287
     155.26042     58.425778
     155.26191     58.427219
     155.26334     58.428612
     155.26472     58.429959
     155.26606      58.43126
     155.26735     58.432518
      155.2686     58.433734
     155.26981     58.434909
     155.27098     58.436045
     155.27211     58.437143
      155.2732     58.438205
     155.27425      58.43923
     155.27527     58.440222
     155.27626      58.44118
     155.27721     58.442107
     155.27813     58.443002
     155.27902     58.443867
     155.27988     58.444704
     155.28071     58.445512
     155.28151     58.446294
     155.28229     58.447049
     155.28304     58.447779
     155.28376     58.448485
     155.28447     58.449167
     155.28514     58.449826
      155.2858     58.450463
     155.28643     58.451079
     155.28704     58.451674
     155.28763      58.45225
     155.28821     58.452806
     155.28876     58.453343
     155.28929     58.453863
     155.28981     58.454365
     155.29031      58.45485
     155.29079     58.455319
     155.29126     58.455773
     155.29171     58.456211
     155.29214     58.456634
     155.29256     58.457044
     155.29297      58.45744
     155.29336     58.457822
     155.29374     58.458192
     155.29411     58.458549
