      R(bc)Cb=0.055834378
         VBase        Charge
             0             0
  0.0012438637  0.0024887696
  0.0037446083  0.0050327879
  0.0062574692  0.0075485762
  0.0087683692   0.010062685
   0.011277148   0.012575734
   0.013783807   0.015087735
   0.016288347   0.017598688
   0.018790769   0.020108593
   0.021291076   0.022617452
   0.023789269   0.025125264
   0.026285351    0.02763203
   0.028779323    0.03013775
   0.031271186   0.032642424
   0.033760943   0.035146054
   0.036248595   0.037648638
   0.038734145   0.040150179
   0.041217593   0.042650675
   0.043698942   0.045150128
   0.046178193   0.047648538
   0.048655349   0.050145906
    0.05113041    0.05264223
    0.05360338   0.055137513
   0.056074259   0.057631755
   0.058543049   0.060124955
   0.061009752   0.062617114
    0.06347437   0.065108233
   0.065936905   0.067598312
   0.068397358   0.070087351
   0.070855731   0.072575351
   0.073312026   0.075062312
   0.075766244   0.077548234
   0.078218388   0.080033118
   0.080668459   0.082516965
   0.083116459   0.084999774
    0.08556239   0.087481546
   0.088006253   0.089962282
    0.09044805   0.092441982
   0.092887783   0.094920645
   0.095325454   0.097398274
   0.097761064   0.099874867
    0.10019462    0.10235043
    0.10262611    0.10482495
    0.10505555    0.10729844
    0.10748293     0.1097709
    0.10990827    0.11224232
    0.11233155    0.11471271
    0.11475278    0.11718207
    0.11717197     0.1196504
    0.11958911    0.12211769
    0.12200421    0.12458396
    0.12441727    0.12704919
    0.12682829    0.12951339
    0.12923727    0.13197656
    0.13164421    0.13443871
    0.13404912    0.13689982
      0.136452    0.13935991
    0.13885284    0.14181896
    0.14125166    0.14427699
    0.14364844    0.14673399
    0.14604321    0.14918996
    0.14843594    0.15164491
    0.15082666    0.15409883
    0.15321535    0.15655172
    0.15560203    0.15900359
    0.15798668    0.16145443
    0.16036932    0.16390425
    0.16274995    0.16635304
    0.16512857    0.16880081
    0.16750517    0.17124755
    0.16987976    0.17369327
    0.17225235    0.17613797
    0.17462293    0.17858164
    0.17699151     0.1810243
    0.17935809    0.18346593
    0.18172266    0.18590653
    0.18408524    0.18834612
    0.18644582    0.19078469
     0.1888044    0.19322223
    0.19116099    0.19565876
    0.19351559    0.19809426
     0.1958682    0.20052875
    0.19821882    0.20296222
