        Pcore(1)        Pcore(2)        Pcore(3)        Pcore(4)
            39            13           6.5           6.5
     82.151294     56.151294     49.651294     49.651294
     83.085293      56.78606     50.211792     50.211792
     83.096685     56.793897     50.218758     50.218758
     83.097399     56.794562     50.219411     50.219411
     83.097989     56.795144     50.219992     50.219992
     83.098577     56.795725     50.220571     50.220571
     83.099165     56.796306      50.22115      50.22115
     83.099752     56.796886     50.221728     50.221728
     83.100338     56.797465     50.222306     50.222306
     83.100924     56.798045     50.222883     50.222883
     83.101509     56.798623      50.22346      50.22346
     83.102095     56.799201     50.224037     50.224037
     83.102679     56.799779     50.224613     50.224613
     83.103263     56.800356     50.225188     50.225188
     83.103847     56.800933     50.225763     50.225763
      83.10443     56.801509     50.226338     50.226338
     83.105012     56.802085     50.226912     50.226912
     83.105594      56.80266     50.227485     50.227485
     83.106176     56.803235     50.228058     50.228058
     83.106757     56.803809     50.228631     50.228631
     83.107338     56.804383     50.229203     50.229203
     83.107918     56.804957     50.229775     50.229775
     83.108498     56.805529     50.230346     50.230346
     83.109077     56.806102     50.230917     50.230917
     83.109656     56.806674     50.231487     50.231487
     83.110234     56.807245     50.232057     50.232057
     83.110812     56.807816     50.232626     50.232626
      83.11139     56.808387     50.233195     50.233195
     83.111966     56.808957     50.233764     50.233764
     83.112543     56.809527     50.234332     50.234332
     83.113119     56.810096     50.234899     50.234899
     83.113694     56.810665     50.235466     50.235466
     83.114269     56.811233     50.236033     50.236033
     83.114844     56.811801     50.236599     50.236599
     83.115418     56.812368     50.237164     50.237164
     83.115991     56.812935      50.23773      50.23773
     83.116564     56.813501     50.238294     50.238294
     83.117137     56.814067     50.238858     50.238858
     83.117709     56.814632     50.239422     50.239422
     83.118281     56.815197     50.239986     50.239986
     83.118852     56.815762     50.240548     50.240548
     83.119423     56.816326     50.241111     50.241111
     83.119993      56.81689     50.241673     50.241673
     83.120563     56.817453     50.242234     50.242234
     83.121132     56.818015     50.242795     50.242795
     83.121701     56.818577     50.243356     50.243356
     83.122269     56.819139     50.243916     50.243916
     83.122837       56.8197     50.244475     50.244475
     83.123405     56.820261     50.245034     50.245034
     83.123972     56.820822     50.245593     50.245593
     83.124538     56.821381     50.246151     50.246151
     83.125104     56.821941     50.246709     50.246709
      83.12567       56.8225     50.247266     50.247266
     83.126235     56.823058     50.247823     50.247823
       83.1268     56.823616     50.248379     50.248379
     83.127364     56.824174     50.248935     50.248935
     83.127928     56.824731     50.249491     50.249491
     83.128491     56.825288     50.250046     50.250046
     83.129054     56.825844       50.2506       50.2506
     83.129616       56.8264     50.251154     50.251154
     83.130178     56.826955     50.251708     50.251708
     83.130739      56.82751     50.252261     50.252261
       83.1313     56.828064     50.252814     50.252814
     83.131861     56.828618     50.253366     50.253366
     83.132421     56.829171     50.253918     50.253918
      83.13298     56.829724     50.254469     50.254469
      83.13354     56.830277      50.25502      50.25502
     83.134098     56.830829     50.255571     50.255571
     83.134656     56.831381     50.256121     50.256121
     83.135214     56.831932      50.25667      50.25667
     83.135771     56.832483     50.257219     50.257219
     83.136328     56.833033     50.257768     50.257768
     83.136885     56.833583     50.258316     50.258316
      83.13744     56.834132     50.258864     50.258864
     83.137996     56.834681     50.259411     50.259411
     83.138551     56.835229     50.259958     50.259958
     83.139105     56.835777     50.260504     50.260504
     83.139659     56.836325      50.26105      50.26105
     83.140213     56.836872     50.261596     50.261596
     83.140766     56.837419     50.262141     50.262141
     83.141319     56.837965     50.262686     50.262686
     83.141871     56.838511      50.26323      50.26323
     83.142423     56.839056     50.263773     50.263773
     83.142974     56.839601     50.264317     50.264317
     83.143525     56.840145     50.264859     50.264859
     83.144075     56.840689     50.265402     50.265402
     83.144625     56.841233     50.265944     50.265944
     83.145175     56.841776     50.266485     50.266485
     83.145724     56.842318     50.267026     50.267026
     83.146273      56.84286     50.267567     50.267567
     83.146821     56.843402     50.268107     50.268107
     83.147368     56.843943     50.268646     50.268646
     83.147916     56.844484     50.269186     50.269186
     83.148462     56.845025     50.269724     50.269724
     83.149009     56.845565     50.270263     50.270263
     83.149555     56.846104     50.270801     50.270801
       83.1501     56.846643     50.271338     50.271338
     83.150645     56.847182     50.271875     50.271875
      83.15119      56.84772     50.272412     50.272412
     83.151734     56.848258     50.272948     50.272948
     83.152277     56.848795     50.273483     50.273483
     83.152821     56.849332     50.274019     50.274019
     83.153363     56.849868     50.274553     50.274553
     83.153906     56.850404     50.275088     50.275088
     83.154448      56.85094     50.275622     50.275622
     83.154989     56.851475     50.276155     50.276155
      83.15553     56.852009     50.276688     50.276688
      83.15607     56.852543     50.277221     50.277221
     83.156611     56.853077     50.277753     50.277753
      83.15715      56.85361     50.278285     50.278285
     83.157689     56.854143     50.278816     50.278816
     83.158228     56.854676     50.279347     50.279347
     83.158766     56.855208     50.279877     50.279877
     83.159304     56.855739     50.280407     50.280407
     83.159842      56.85627     50.280937     50.280937
     83.160379     56.856801     50.281466     50.281466
     83.160915     56.857331     50.281995     50.281995
     83.161451     56.857861     50.282523     50.282523
     83.161987      56.85839     50.283051     50.283051
     83.162522     56.858919     50.283578     50.283578
     83.163057     56.859448     50.284105     50.284105
     83.163591     56.859976     50.284631     50.284631
     83.164125     56.860503     50.285157     50.285157
     83.164658     56.861031     50.285683     50.285683
     83.165191     56.861557     50.286208     50.286208
     83.165724     56.862084     50.286733     50.286733
     83.166256     56.862609     50.287257     50.287257
     83.166788     56.863135     50.287781     50.287781
     83.167319      56.86366     50.288304     50.288304
      83.16785     56.864184     50.288828     50.288828
      83.16838     56.864709      50.28935      50.28935
      83.16891     56.865232     50.289872     50.289872
      83.16944     56.865756     50.290394     50.290394
     83.169969     56.866278     50.290915     50.290915
     83.170497     56.866801     50.291436     50.291436
     83.171025     56.867323     50.291957     50.291957
     83.171553     56.867844     50.292477     50.292477
      83.17208     56.868366     50.292996     50.292996
     83.172607     56.868886     50.293515     50.293515
     83.173134     56.869406     50.294034     50.294034
      83.17366     56.869926     50.294552     50.294552
     83.174185     56.870446      50.29507      50.29507
      83.17471     56.870965     50.295588     50.295588
     83.175235     56.871483     50.296105     50.296105
     83.175759     56.872001     50.296621     50.296621
     83.176283     56.872519     50.297137     50.297137
     83.176807     56.873036     50.297653     50.297653
      83.17733     56.873553     50.298168     50.298168
     83.177852      56.87407     50.298683     50.298683
     83.178374     56.874586     50.299198     50.299198
     83.178896     56.875101     50.299712     50.299712
     83.179417     56.875616     50.300225     50.300225
     83.179938     56.876131     50.300739     50.300739
     83.180458     56.876645     50.301251     50.301251
     83.180978     56.877159     50.301764     50.301764
     83.181498     56.877672     50.302276     50.302276
     83.182017     56.878185     50.302787     50.302787
     83.182536     56.878698     50.303298     50.303298
     83.183054      56.87921     50.303809     50.303809
     83.183572     56.879722     50.304319     50.304319
     83.184089     56.880233     50.304829     50.304829
     83.184606     56.880744     50.305338     50.305338
     83.185123     56.881255     50.305847     50.305847
     83.185639     56.881765     50.306356     50.306356
     83.186154     56.882274     50.306864     50.306864
      83.18667     56.882784     50.307372     50.307372
     83.187185     56.883292     50.307879     50.307879
     83.187699     56.883801     50.308386     50.308386
     83.188213     56.884309     50.308892     50.308892
     83.188726     56.884816     50.309398     50.309398
      83.18924     56.885323     50.309904     50.309904
     83.189752      56.88583     50.310409     50.310409
     83.190265     56.886336     50.310914     50.310914
     83.190776     56.886842     50.311418     50.311418
     83.191288     56.887348     50.311922     50.311922
     83.191799     56.887853     50.312426     50.312426
     83.192309     56.888357     50.312929     50.312929
      83.19282     56.888861     50.313431     50.313431
     83.193329     56.889365     50.313934     50.313934
     83.193839     56.889869     50.314436     50.314436
     83.194348     56.890372     50.314937     50.314937
     83.194856     56.890874     50.315438     50.315438
     83.195364     56.891376     50.315939     50.315939
     83.195872     56.891878     50.316439     50.316439
     83.196379     56.892379     50.316939     50.316939
     83.196886      56.89288     50.317438     50.317438
     83.197392      56.89338     50.317937     50.317937
     83.197898     56.893881     50.318436     50.318436
     83.198404      56.89438     50.318934     50.318934
     83.198909     56.894879     50.319432     50.319432
     83.199414     56.895378     50.319929     50.319929
     83.199918     56.895877     50.320426     50.320426
     83.200422     56.896375     50.320922     50.320922
     83.200925     56.896872     50.321418     50.321418
     83.201428     56.897369     50.321914     50.321914
     83.201931     56.897866     50.322409     50.322409
     83.202433     56.898362     50.322904     50.322904
     83.202935     56.898858     50.323399     50.323399
     83.203437     56.899354     50.323893     50.323893
     83.203938     56.899849     50.324386     50.324386
     83.204438     56.900344      50.32488      50.32488
     83.204938     56.900838     50.325373     50.325373
     83.205438     56.901332     50.325865     50.325865
     83.205937     56.901825     50.326357     50.326357
     83.206436     56.902318     50.326849     50.326849
     83.206935     56.902811      50.32734      50.32734
     83.207433     56.903303     50.327831     50.327831
     83.207931     56.903795     50.328321     50.328321
     83.208428     56.904287     50.328811     50.328811
     83.208925     56.904778     50.329301     50.329301
     83.209421     56.905268      50.32979      50.32979
     83.209917     56.905758     50.330279     50.330279
     83.210413     56.906248     50.330767     50.330767
     83.210908     56.906738     50.331255     50.331255
     83.211403     56.907227     50.331742     50.331742
     83.211897     56.907715      50.33223      50.33223
     83.212391     56.908204     50.332716     50.332716
     83.212885     56.908691     50.333203     50.333203
     83.213378     56.909179     50.333689     50.333689
     83.213871     56.909666     50.334174     50.334174
     83.214363     56.910152     50.334659     50.334659
     83.214855     56.910639     50.335144     50.335144
     83.215347     56.911124     50.335628     50.335628
     83.215838      56.91161     50.336112     50.336112
     83.216328     56.912095     50.336596     50.336596
     83.216819     56.912579     50.337079     50.337079
     83.217309     56.913063     50.337562     50.337562
     83.217798     56.913547     50.338044     50.338044
     83.218287     56.914031     50.338526     50.338526
     83.218776     56.914514     50.339008     50.339008
     83.219264     56.914996     50.339489     50.339489
     83.219752     56.915478      50.33997      50.33997
      83.22024      56.91596      50.34045      50.34045
     83.220727     56.916442      50.34093      50.34093
     83.221214     56.916923      50.34141      50.34141
       83.2217     56.917403     50.341889     50.341889
     83.222186     56.917883     50.342368     50.342368
     83.222671     56.918363     50.342846     50.342846
     83.223156     56.918843     50.343324     50.343324
     83.223641     56.919322     50.343801     50.343801
     83.224125       56.9198     50.344279     50.344279
     83.224609     56.920278     50.344755     50.344755
     83.225093     56.920756     50.345232     50.345232
     83.225576     56.921234     50.345708     50.345708
     83.226058     56.921711     50.346184     50.346184
     83.226541     56.922187     50.346659     50.346659
     83.227023     56.922664     50.347134     50.347134
     83.227504     56.923139     50.347608     50.347608
     83.227985     56.923615     50.348082     50.348082
     83.228466      56.92409     50.348556     50.348556
     83.228946     56.924565     50.349029     50.349029
     83.229426     56.925039     50.349502     50.349502
     83.229906     56.925513     50.349974     50.349974
     83.230385     56.925986     50.350446     50.350446
     83.230863     56.926459     50.350918     50.350918
     83.231342     56.926932      50.35139      50.35139
      83.23182     56.927404      50.35186      50.35186
     83.232297     56.927876     50.352331     50.352331
     83.232774     56.928348     50.352801     50.352801
     83.233251     56.928819     50.353271     50.353271
     83.233727      56.92929      50.35374      50.35374
     83.234203      56.92976     50.354209     50.354209
     83.234679      56.93023     50.354678     50.354678
     83.235154       56.9307     50.355146     50.355146
     83.235629     56.931169     50.355614     50.355614
     83.236103     56.931638     50.356081     50.356081
     83.236577     56.932106     50.356548     50.356548
     83.237051     56.932574     50.357015     50.357015
     83.237524     56.933042     50.357481     50.357481
     83.237997     56.933509     50.357947     50.357947
     83.238469     56.933976     50.358413     50.358413
     83.238941     56.934443     50.358878     50.358878
     83.239413     56.934909     50.359342     50.359342
     83.239884     56.935374     50.359807     50.359807
     83.240355      56.93584     50.360271     50.360271
     83.240825     56.936305     50.360734     50.360734
     83.241296     56.936769     50.361198     50.361198
     83.241765     56.937233      50.36166      50.36166
     83.242234     56.937697     50.362123     50.362123
     83.242703     56.938161     50.362585     50.362585
     83.243172     56.938624     50.363047     50.363047
      83.24364     56.939086     50.363508     50.363508
     83.244108     56.939549     50.363969     50.363969
     83.244575      56.94001     50.364429     50.364429
     83.245042     56.940472     50.364889     50.364889
     83.245509     56.940933     50.365349     50.365349
     83.245975     56.941394     50.365809     50.365809
     83.246441     56.941854     50.366268     50.366268
     83.246906     56.942314     50.366726     50.366726
     83.247371     56.942774     50.367184     50.367184
     83.247836     56.943233     50.367642     50.367642
       83.2483     56.943692       50.3681       50.3681
     83.248764      56.94415     50.368557     50.368557
     83.249228     56.944608     50.369014     50.369014
     83.249691     56.945066      50.36947      50.36947
     83.250153     56.945523     50.369926     50.369926
     83.250616      56.94598     50.370381     50.370381
     83.251078     56.946437     50.370837     50.370837
     83.251539     56.946893     50.371292     50.371292
     83.252001     56.947349     50.371746     50.371746
     83.252461     56.947804       50.3722       50.3722
     83.252922     56.948259     50.372654     50.372654
     83.253382     56.948714     50.373107     50.373107
     83.253842     56.949168      50.37356      50.37356
     83.254301     56.949622     50.374013     50.374013
      83.25476     56.950076     50.374465     50.374465
     83.255218     56.950529     50.374917     50.374917
     83.255677     56.950982     50.375368     50.375368
     83.256134     56.951434     50.375819     50.375819
     83.256592     56.951886      50.37627      50.37627
     83.257049     56.952338      50.37672      50.37672
     83.257505     56.952789      50.37717      50.37717
     83.257962      56.95324      50.37762      50.37762
     83.258418     56.953691     50.378069     50.378069
     83.258873     56.954141     50.378518     50.378518
     83.259328     56.954591     50.378966     50.378966
     83.259783      56.95504     50.379415     50.379415
     83.260237     56.955489     50.379862     50.379862
     83.260691     56.955938      50.38031      50.38031
     83.261145     56.956386     50.380757     50.380757
     83.261598     56.956834     50.381203     50.381203
     83.262051     56.957282      50.38165      50.38165
     83.262504     56.957729     50.382095     50.382095
     83.262956     56.958176     50.382541     50.382541
     83.263408     56.958622     50.382986     50.382986
     83.263859     56.959068     50.383431     50.383431
      83.26431     56.959514     50.383875     50.383875
     83.264761      56.95996     50.384319     50.384319
     83.265211     56.960405     50.384763     50.384763
     83.265661     56.960849     50.385206     50.385206
      83.26611     56.961293     50.385649     50.385649
     83.266559     56.961737     50.386092     50.386092
     83.267008     56.962181     50.386534     50.386534
     83.267457     56.962624     50.386976     50.386976
     83.267905     56.963067     50.387417     50.387417
     83.268352     56.963509     50.387859     50.387859
       83.2688     56.963951     50.388299     50.388299
     83.269247     56.964393      50.38874      50.38874
     83.269693     56.964834      50.38918      50.38918
     83.270139     56.965275     50.389619     50.389619
     83.270585     56.965716     50.390059     50.390059
      83.27103     56.966156     50.390498     50.390498
     83.271476     56.966596     50.390936     50.390936
      83.27192     56.967035     50.391374     50.391374
     83.272365     56.967475     50.391812     50.391812
     83.272809     56.967913      50.39225      50.39225
     83.273252     56.968352     50.392687     50.392687
     83.273695      56.96879     50.393124     50.393124
     83.274138     56.969227      50.39356      50.39356
     83.274581     56.969665     50.393996     50.393996
     83.275023     56.970102     50.394432     50.394432
     83.275465     56.970538     50.394867     50.394867
     83.275906     56.970975     50.395302     50.395302
     83.276347      56.97141     50.395736     50.395736
     83.276788     56.971846     50.396171     50.396171
     83.277228     56.972281     50.396605     50.396605
     83.277668     56.972716     50.397038     50.397038
     83.278108      56.97315     50.397471     50.397471
     83.278547     56.973584     50.397904     50.397904
     83.278986     56.974018     50.398336     50.398336
     83.279424     56.974451     50.398769     50.398769
     83.279862     56.974884       50.3992       50.3992
       83.2803     56.975317     50.399632     50.399632
     83.280737     56.975749     50.400063     50.400063
     83.281174     56.976181     50.400493     50.400493
     83.281611     56.976613     50.400924     50.400924
     83.282047     56.977044     50.401353     50.401353
     83.282483     56.977475     50.401783     50.401783
     83.282919     56.977905     50.402212     50.402212
     83.283354     56.978335     50.402641     50.402641
     83.283789     56.978765      50.40307      50.40307
     83.284224     56.979195     50.403498     50.403498
     83.284658     56.979624     50.403926     50.403926
     83.285091     56.980052     50.404353     50.404353
     83.285525     56.980481      50.40478      50.40478
     83.285958     56.980909     50.405207     50.405207
     83.286391     56.981336     50.405633     50.405633
     83.286823     56.981764     50.406059     50.406059
     83.287255     56.982191     50.406485     50.406485
     83.287687     56.982617      50.40691      50.40691
     83.288118     56.983043     50.407335     50.407335
     83.288549     56.983469      50.40776      50.40776
     83.288979     56.983895     50.408184     50.408184
      83.28941      56.98432     50.408608     50.408608
     83.289839     56.984745     50.409032     50.409032
     83.290269     56.985169     50.409455     50.409455
     83.290698     56.985593     50.409878     50.409878
     83.291127     56.986017       50.4103       50.4103
     83.291555     56.986441     50.410722     50.410722
     83.291983     56.986864     50.411144     50.411144
     83.292411     56.987286     50.411566     50.411566
     83.292838     56.987709     50.411987     50.411987
     83.293265     56.988131     50.412407     50.412407
     83.293692     56.988552     50.412828     50.412828
     83.294118     56.988974     50.413248     50.413248
     83.294544     56.989395     50.413668     50.413668
      83.29497     56.989815     50.414087     50.414087
     83.295395     56.990236     50.414506     50.414506
      83.29582     56.990655     50.414925     50.414925
     83.296244     56.991075     50.415343     50.415343
     83.296669     56.991494     50.415761     50.415761
     83.297092     56.991913     50.416179     50.416179
     83.297516     56.992332     50.416596     50.416596
     83.297939      56.99275     50.417013     50.417013
     83.298362     56.993168     50.417429     50.417429
     83.298784     56.993585     50.417846     50.417846
     83.299206     56.994002     50.418262     50.418262
     83.299628     56.994419     50.418677     50.418677
     83.300049     56.994835     50.419092     50.419092
      83.30047     56.995252     50.419507     50.419507
     83.300891     56.995667     50.419922     50.419922
     83.301311     56.996083     50.420336     50.420336
     83.301731     56.996498      50.42075      50.42075
     83.302151     56.996913     50.421163     50.421163
      83.30257     56.997327     50.421576     50.421576
     83.302989     56.997741     50.421989     50.421989
     83.303408     56.998155     50.422402     50.422402
     83.303826     56.998568     50.422814     50.422814
     83.304244     56.998981     50.423226     50.423226
     83.304662     56.999394     50.423637     50.423637
     83.305079     56.999806     50.424048     50.424048
     83.305496     57.000218     50.424459     50.424459
     83.305912      57.00063     50.424869     50.424869
     83.306328     57.001041      50.42528      50.42528
     83.306744     57.001452     50.425689     50.425689
      83.30716     57.001862     50.426099     50.426099
     83.307575     57.002273     50.426508     50.426508
      83.30799     57.002683     50.426916     50.426916
     83.308404     57.003092     50.427325     50.427325
     83.308818     57.003501     50.427733     50.427733
     83.309232      57.00391     50.428141     50.428141
     83.309645     57.004319     50.428548     50.428548
     83.310058     57.004727     50.428955     50.428955
     83.310471     57.005135     50.429362     50.429362
     83.310883     57.005543     50.429768     50.429768
     83.311295      57.00595     50.430174     50.430174
     83.311707     57.006357      50.43058      50.43058
     83.312118     57.006763     50.430985     50.430985
     83.312529      57.00717      50.43139      50.43139
      83.31294     57.007575     50.431795     50.431795
      83.31335     57.007981     50.432199     50.432199
      83.31376     57.008386     50.432603     50.432603
      83.31417     57.008791     50.433007     50.433007
     83.314579     57.009196      50.43341      50.43341
     83.314988       57.0096     50.433813     50.433813
     83.315397     57.010004     50.434216     50.434216
     83.315805     57.010407     50.434618     50.434618
     83.316213      57.01081      50.43502      50.43502
     83.316621     57.011213     50.435422     50.435422
     83.317028     57.011616     50.435823     50.435823
     83.317435     57.012018     50.436224     50.436224
     83.317842      57.01242     50.436625     50.436625
     83.318248     57.012821     50.437025     50.437025
     83.318654     57.013222     50.437425     50.437425
      83.31906     57.013623     50.437825     50.437825
     83.319465     57.014024     50.438224     50.438224
      83.31987     57.014424     50.438623     50.438623
     83.320274     57.014824     50.439022     50.439022
     83.320679     57.015223      50.43942      50.43942
     83.321082     57.015622     50.439818     50.439818
     83.321486     57.016021     50.440216     50.440216
     83.321889      57.01642     50.440613     50.440613
     83.322292     57.016818      50.44101      50.44101
     83.322695     57.017216     50.441407     50.441407
     83.323097     57.017613     50.441803     50.441803
     83.323499     57.018011     50.442199     50.442199
       83.3239     57.018408     50.442595     50.442595
     83.324302     57.018804      50.44299      50.44299
     83.324703       57.0192     50.443385     50.443385
     83.325103     57.019596      50.44378      50.44378
     83.325503     57.019992     50.444175     50.444175
     83.325903     57.020387     50.444569     50.444569
     83.326303     57.020782     50.444962     50.444962
     83.326702     57.021176     50.445356     50.445356
     83.327101     57.021571     50.445749     50.445749
       83.3275     57.021965     50.446142     50.446142
     83.327898     57.022358     50.446534     50.446534
     83.328296     57.022752     50.446926     50.446926
     83.328693     57.023144     50.447318     50.447318
     83.329091     57.023537     50.447709     50.447709
     83.329488     57.023929     50.448101     50.448101
     83.329884     57.024321     50.448491     50.448491
      83.33028     57.024713     50.448882     50.448882
     83.330676     57.025104     50.449272     50.449272
     83.331072     57.025495     50.449662     50.449662
     83.331467     57.025886     50.450051     50.450051
     83.331862     57.026276     50.450441     50.450441
     83.332257     57.026666     50.450829     50.450829
     83.332651     57.027056     50.451218     50.451218
     83.333045     57.027445     50.451606     50.451606
     83.333439     57.027834     50.451994     50.451994
     83.333832     57.028223     50.452382     50.452382
     83.334225     57.028612     50.452769     50.452769
     83.334618        57.029     50.453156     50.453156
      83.33501     57.029387     50.453542     50.453542
     83.335402     57.029775     50.453929     50.453929
     83.335794     57.030162     50.454315     50.454315
     83.336185     57.030549       50.4547       50.4547
     83.336576     57.030935     50.455086     50.455086
     83.336967     57.031321     50.455471     50.455471
     83.337357     57.031707     50.455855     50.455855
     83.337747     57.032093      50.45624      50.45624
     83.338137     57.032478     50.456624     50.456624
     83.338527     57.032863     50.457008     50.457008
     83.338916     57.033247     50.457391     50.457391
     83.339304     57.033631     50.457774     50.457774
     83.339693     57.034015     50.458157     50.458157
     83.340081     57.034399     50.458539     50.458539
     83.340469     57.034782     50.458921     50.458921
     83.340856     57.035165     50.459303     50.459303
     83.341243     57.035548     50.459685     50.459685
      83.34163      57.03593     50.460066     50.460066
     83.342017     57.036312     50.460447     50.460447
     83.342403     57.036694     50.460827     50.460827
     83.342789     57.037075     50.461208     50.461208
     83.343174     57.037456     50.461588     50.461588
      83.34356     57.037837     50.461967     50.461967
     83.343945     57.038217     50.462346     50.462346
     83.344329     57.038598     50.462725     50.462725
     83.344713     57.038977     50.463104     50.463104
     83.345097     57.039357     50.463482     50.463482
     83.345481     57.039736      50.46386      50.46386
     83.345864     57.040115     50.464238     50.464238
     83.346247     57.040493     50.464616     50.464616
